ID,Name,Watched,Rating
554,Diamonds,no,0
555,Dick Tracy,no,0
556,Different Times,no,0
557,Dimples,no,0
558,Diner,no,0
559,Dirty Rotten Scoundrels,no,0
560,Disaster!,no,0
561,Disco Inferno,no,0
562,The District Leader,no,0
563,Divorce Me,no,0
564,Les Dix Commandements,no,0
565,Dixiana,no,0
566,Dixie,no,0
567,Do Black Patent Leather Shoes Really Reflect Up?,no,0
568,Do I Hear a Waltz?,no,0
569,Do Re Mi,no,0
570,Doctor Dolittle,no,0
571,Doctor Zhivago,no,0
572,Dogfight,no,0
573,Doll,no,0
574,Doll Face,no,0
575,Die Dollarprinzessin,no,0
576,A Doll's Life,no,0
577,The Dolly Sisters,no,0
578,Donnybrook!,no,0
579,Don't Bother Me,no,0
580,Don't Play Us Cheap,no,0
581,Doonesbury,no,0
582,Double or Nothing,no,0
583,Double Trouble,no,0
584,Down Argentine Way,no,0
585,Down to Earth,no,0
586,Dr. Horrible's Sing-Along Blog,no,0
587,Dr. Seuss' How the Grinch Stole Christmas!,no,0
588,Dracula – Entre l'amour et la mort,no,0
589,Dracula,no,0
590,Dragons,no,0
591,Drat! The Cat!,no,0
592,Dream House,no,0
593,Dream True,no,0
594,Dreamboats and Petticoats,no,0
595,Dreamgirls,no,0
596,Dreams Come True,no,0
597,Die Drei von der Tankstelle,no,0
598,The Drowsy Chaperone,no,0
599,DuBarry Was a Lady,no,0
600,The Duchess of Dantzic,no,0
601,Duchess of Idaho,no,0
602,Duck Soup,no,0
603,Dude,no,0
604,Duffy's Tavern,no,0
605,Dumbo,no,0
606,Dusty – The Original Pop Diva,no,0
607,Eadie Was a Lady,no,0
608,The Earl and the Girl,no,0
609,Earl Carroll Vanities of 1931,no,0
610,Earl of Ruston,no,0
611,Early to Bed,no,0
612,Earth Girls Are Easy,no,0
613,The East Side of Heaven,no,0
614,Easter Parade,no,0
615,Easter Rising,no,0
616,Easy to Love,no,0
617,Eating Raoul,no,0
618,Ebenezer Scrooge,no,0
619,Ed Wynn Carnival,no,0
620,The Eddie Cantor Story,no,0
621,The Eddy Duchin Story,no,0
622,The Education of H*Y*M*A*N K*A*P*L*A*N,no,0
623,Eileen,no,0
624,Einbrecher,no,0
625,Elegies,no,0
626,Elegies for Angels,no,0
627,Elf,no,0
628,Elisabeth,no,0
629,Elixier,no,0
630,Ella Enchanted,no,0
631,Elsie,no,0
632,Emir,no,0
633,The Emperor Waltz,no,0
634,Enchanted,no,0
635,The Enchantress,no,0
636,Erminie,no,0
637,Ernest in Love,no,0
638,Escape to Margaritaville,no,0
639,Escape from the Haltsburg Boys Choir,no,0
640,Eubie!,no,0
641,Evangeline,no,0
642,Evening Primrose,no,0
643,An Evening with Beatrice Lillie,no,0
644,An Evening with Max Morath at the Turn of the Century,no,0
645,Ever After The Musical,no,0
646,Ever Green,no,0
647,Every Night at Eight,no,0
648,Everybody Sing,no,0
649,Everybody's Talking About Jamie,no,0
650,Everybody's Welcome,no,0
651,Everyday Rapture,no,0
652,Everyone Says I Love You,no,0
653,Everything I Have is Yours,no,0
654,Everything Is Rhythm,no,0
655,Evie and the Birdman,no,0
656,Evil Dead,no,0
657,Evita,no,0
658,Fade Out - Fade In,no,0
659,Falsettoland,no,0
660,Falsettos,no,0
